Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,Weather_Condition,Junction,Crossing,Railway_Crossing,Stop_Sign,Speed_Breaker,Severity
Urban,Dry,66.06874342676288,60,Bus,34.65580177871068,76.4993781725197,90.53529283548076,Rainy,No,0,1,0,1,Medium
Highway,Dry,90.03658835043366,100,Truck,12.505021500960062,82.17175327419494,562.820207238447,Storm,No,0,1,1,0,Medium
Rural,Wet,100.40167049372258,80,Bike,22.156062603442514,65.71784201640085,743.5641223015616,Clear,No,1,0,0,0,High
Rural,Dry,71.76112727688394,80,Bike,12.486739650800626,62.26960970377674,441.9724732904904,Clear,T-Junction,1,1,0,1,Medium
Highway,Dry,63.112099568821776,100,Bike,37.739299906707885,93.52925722229276,260.4602663093487,Clear,T-Junction,0,1,0,1,Medium
Rural,Dry,112.29773686267335,80,Car,27.529429357693008,92.09264083927911,54.99191653804329,Rainy,Crossroad,1,1,1,1,High
Urban,Damaged,48.489786556679256,60,Bus,18.32143548943398,35.0496927779009,469.0614208905823,Storm,No,1,1,1,1,Medium
Highway,Dry,105.12633963665739,100,Bus,19.285828488589832,85.10360157655589,687.8838608283405,Storm,Crossroad,0,0,1,0,Medium
Highway,Wet,128.1425625882383,100,Truck,28.402455878073695,53.45944290324951,933.4011985204731,Foggy,No,1,0,0,0,High
Rural,Damaged,85.1092287693254,80,Car,21.302169098138222,79.96626399808576,399.05955448907054,Rainy,No,0,0,0,0,Medium
Highway,Wet,99.79333067099212,100,Car,18.20221215792119,24.51003973207417,866.0751524925026,Foggy,Crossroad,0,0,0,0,Medium
Urban,Snow,73.86228574628302,60,Car,21.335516478273593,39.286786586370546,212.99487522145967,Foggy,No,0,0,0,0,High
Urban,Dry,72.19284696357148,60,Car,20.744881540985215,29.08460737597032,674.8574636368716,Storm,T-Junction,1,1,1,0,High
Rural,Wet,86.20569199928111,80,Bus,24.401379010554255,53.64286229320601,786.8215813048664,Clear,T-Junction,1,1,0,0,High
Rural,Wet,100.13132756458873,80,Bus,20.51762676419791,67.19341494837064,398.321604648735,Storm,T-Junction,0,0,0,1,High
Highway,Wet,124.42923318356938,100,Car,35.87091126240236,95.96164989261138,155.60274611974756,Storm,Crossroad,1,0,1,0,High
Highway,Wet,79.29847812677663,100,Truck,19.862548308625247,70.67206834533806,247.74416259041115,Clear,T-Junction,0,0,0,0,Medium
Rural,Damaged,66.37918934644343,80,Bike,30.895043986812368,52.93289714860225,875.5744288058729,Foggy,T-Junction,0,0,1,1,High
Highway,Wet,108.41549601206592,100,Bike,15.068051892164936,42.287227122556686,185.24037943397934,Foggy,No,0,1,0,0,High
Highway,Damaged,94.38008007465784,100,Truck,19.64748294040087,27.38324689829969,486.3339401157303,Rainy,T-Junction,1,0,1,1,Medium
Rural,Snow,67.7198452202213,80,Bus,18.30632944441611,84.4961023834449,750.7770934798218,Clear,No,0,1,0,0,Medium
Rural,Damaged,82.88135570948974,80,Truck,31.615481841743946,24.987309000899316,156.26170098716443,Rainy,T-Junction,0,0,0,0,High
Rural,Wet,103.95669083781216,80,Bike,36.0164494322417,48.33173366345004,403.1921941790417,Foggy,No,1,0,0,0,High
Urban,Snow,61.128989188937815,60,Car,16.996492346494037,47.43414914226082,479.2302420162506,Clear,Crossroad,1,0,0,0,High
Urban,Snow,46.874869988128864,60,Bus,27.605233540626372,79.6351579347464,437.3429507673826,Foggy,T-Junction,0,1,0,0,High
Urban,Damaged,59.83158834930543,60,Truck,19.910454438427422,94.69534590078996,17.459019502733994,Storm,T-Junction,0,1,1,0,High
Urban,Snow,35.43008946429917,60,Truck,15.201207858842645,91.74123397011401,89.43140820502579,Rainy,T-Junction,0,0,1,0,Medium
Rural,Wet,83.55986577139615,80,Truck,17.737084811348197,33.67100699120527,671.9567877251867,Storm,Crossroad,0,1,0,0,High
Urban,Snow,64.10366104707943,60,Car,15.6113124567257,45.89433891233949,431.1820742302526,Storm,No,0,1,0,1,High
Rural,Dry,62.91287407115176,80,Truck,24.434203055644524,62.60715460412687,61.30530145420264,Rainy,T-Junction,1,1,1,0,Medium
Rural,Wet,84.01613998554892,80,Bus,30.537146436395,27.029448899412543,147.43652570760017,Rainy,No,0,0,0,0,High
Rural,Damaged,88.6560819077081,80,Truck,34.918582233631874,97.20215285332101,133.05425125068928,Foggy,Crossroad,1,0,0,1,High
Rural,Snow,76.9543192093551,80,Car,11.44283931892263,82.52115854011319,829.661478305717,Storm,T-Junction,0,1,1,1,High
Rural,Dry,84.34662285344619,80,Car,20.764914523705073,90.17604326504866,398.52065634840903,Clear,Crossroad,1,1,0,1,Medium
Urban,Damaged,91.13101197968157,60,Bike,26.19343185743899,55.09957403106712,581.7114081970644,Clear,T-Junction,0,0,0,0,High
Urban,Wet,25.66408114600504,60,Car,19.98447357737453,78.44393094474412,696.7804313293051,Storm,Crossroad,1,0,0,0,High
Highway,Damaged,121.48722876178759,100,Truck,33.65791633673592,32.1339903786201,318.6048471175927,Foggy,Crossroad,0,0,0,0,High
Urban,Damaged,84.63144256661165,60,Truck,13.08748092232435,62.918508118767576,385.0333499013465,Rainy,T-Junction,0,1,1,1,High
Rural,Dry,79.4178157591996,80,Bus,16.877541856979246,77.7802054714453,722.8361711806136,Clear,No,0,0,0,1,Low
Urban,Snow,58.32041219108074,60,Bike,16.82052949089961,53.88774899363863,295.05032031096886,Clear,Crossroad,0,1,1,0,High
Urban,Wet,64.89635047606072,60,Car,31.782867581872022,67.43703242070572,111.1905375829476,Clear,Crossroad,1,1,0,1,High
Highway,Damaged,128.2303674471255,100,Bike,22.72392013907158,78.91553884997782,935.0233446213247,Rainy,No,1,0,0,0,High
Urban,Dry,80.18130069232467,60,Car,15.589626384823621,86.99926312019937,338.82494852838954,Rainy,T-Junction,1,0,0,1,Medium
Rural,Dry,96.06494700807883,80,Bike,10.138960690138086,46.679933735291534,404.1870066550339,Clear,No,0,1,0,1,Medium
Urban,Snow,51.25799097880504,60,Truck,37.55364174817903,66.96545793092538,42.51820354100396,Foggy,T-Junction,0,0,1,1,High
Highway,Snow,96.53598204686983,100,Bus,27.417650508341303,70.58114303356243,22.9635120224503,Rainy,No,0,0,0,0,Medium
Highway,Dry,110.44309547220128,100,Bus,12.560490042359316,99.74994014767579,507.17306022793014,Rainy,T-Junction,0,1,0,1,Medium
Rural,Snow,73.27959290299654,80,Bike,28.74927961153157,50.218075795213544,838.1991651594095,Storm,Crossroad,0,1,0,1,High
Rural,Snow,48.13852888504739,80,Truck,23.222882408146845,52.06104487002608,564.0439279951357,Rainy,T-Junction,0,1,0,1,Medium
Highway,Snow,112.49835816431113,100,Bike,22.26202513294289,22.03090845282759,164.59107139252845,Foggy,T-Junction,1,0,0,1,High
Highway,Dry,80.10191475835362,100,Bike,30.15678230796185,21.57684302034913,113.06749616472811,Foggy,Crossroad,0,0,0,0,High
Highway,Damaged,118.74707979116823,100,Bike,38.879479556646245,95.55277804618187,149.67103028993643,Storm,T-Junction,1,0,0,1,High
Urban,Snow,66.3048688077678,60,Truck,16.23658765438082,22.122576309905575,189.62108073889934,Foggy,No,1,0,1,1,High
Urban,Dry,49.43484464185861,60,Bike,27.708848275444232,41.4450912658301,627.9074187706427,Clear,Crossroad,1,1,1,0,Medium
Urban,Dry,38.873080554546604,60,Bus,32.908173824792826,31.209054061316202,869.7832961389337,Foggy,T-Junction,1,0,1,0,Medium
Highway,Wet,113.0461066034262,100,Bike,22.076501307909417,37.44184859952692,648.6036260916361,Clear,T-Junction,1,1,1,1,High
Highway,Dry,115.85687400034463,100,Truck,10.551720296424001,93.14390452483993,126.57357206123973,Foggy,No,1,0,1,1,High
Highway,Dry,91.57949711356513,100,Car,14.20055615981347,41.094704210769315,273.8334094371734,Rainy,T-Junction,0,1,1,1,Low
Highway,Dry,104.71305599425676,100,Car,37.4323583777488,53.50164199136585,389.3071429670025,Foggy,T-Junction,1,1,1,1,High
Urban,Snow,38.484525492617315,60,Car,21.678868421259295,43.09549894165599,362.11598930029965,Foggy,No,0,0,0,1,Medium
Rural,Wet,88.71533014798979,80,Truck,38.62260809618899,30.800102193696553,488.9173925130886,Foggy,Crossroad,1,1,0,1,High
Rural,Snow,118.40126807403192,80,Bus,20.027316724508825,81.67297629966575,115.53227060243408,Foggy,No,0,1,0,0,High
Highway,Dry,98.55910150413025,100,Bike,23.790445382833934,26.074672829569767,86.9876906381675,Storm,T-Junction,1,1,0,1,High
Urban,Wet,40.209781662938916,60,Bus,26.257028421350743,89.83566687011266,734.9026375454656,Foggy,No,0,0,0,0,Medium
Urban,Damaged,56.60632171486986,60,Truck,37.10091437908075,71.73319352937307,696.2434593423554,Storm,No,0,0,1,0,Medium
Urban,Damaged,41.235055035272296,60,Bike,19.385645695167625,29.641806302917153,733.7134347436988,Clear,Crossroad,0,1,1,1,High
Rural,Snow,119.08966200439278,80,Car,35.86127952967941,87.56395188280563,325.9094685108231,Rainy,Crossroad,1,0,0,1,High
Rural,Damaged,83.3320065745057,80,Bike,20.196248913041984,77.98134172230093,74.70277739095295,Storm,No,0,1,0,1,High
Highway,Wet,92.81877067504784,100,Car,25.605043296361956,54.14536453238915,877.898724083825,Clear,T-Junction,1,0,0,1,Medium
Urban,Wet,70.70099385308168,60,Bike,33.963497073209965,99.834728842667,357.20469729719304,Foggy,No,1,0,0,1,High
Highway,Damaged,100.70525819685618,100,Car,21.948621519269068,27.33594680891441,343.0067591901378,Storm,Crossroad,1,0,0,1,High
Highway,Snow,106.81845223449483,100,Car,27.673256034126844,42.18125165574189,911.235711036959,Rainy,T-Junction,0,0,0,0,Medium
Highway,Damaged,111.16057405973741,100,Bus,38.49883551850676,82.90760115324417,98.51689228913692,Storm,Crossroad,1,0,1,0,High
Urban,Damaged,57.76216260361922,60,Bike,35.13477205849736,38.44553566440152,832.3360925731183,Rainy,No,1,1,0,1,Medium
Highway,Wet,90.10879882823497,100,Car,33.3875342070026,48.01002073333841,67.2642497977624,Clear,T-Junction,0,0,0,0,Medium
Rural,Damaged,81.63003246601026,80,Truck,24.735590226058797,99.70686206453794,898.4617865657418,Clear,No,0,1,0,1,Medium
Highway,Snow,74.36848541230631,100,Car,35.80380449253771,56.59456782189658,397.258068419576,Clear,T-Junction,0,1,0,0,Medium
Rural,Dry,88.15248654184013,80,Truck,26.52572111827418,26.958940792912813,414.3686809399917,Storm,T-Junction,0,1,1,0,High
Highway,Damaged,116.25414480858207,100,Truck,38.86365917776149,28.757508804356313,895.5351316583867,Rainy,T-Junction,0,0,1,1,Medium
Highway,Damaged,92.65840836222667,100,Truck,30.340484576771907,65.2585571196633,274.3579874677271,Clear,Crossroad,1,1,0,1,Medium
Highway,Snow,115.66241315603608,100,Bike,20.020266362357134,39.0952025040814,930.7894470046413,Storm,No,1,0,0,1,High
Rural,Dry,95.60308892335493,80,Bike,10.154355122641443,85.595753392648,236.33890990967427,Clear,T-Junction,0,0,1,1,Medium
Urban,Wet,58.57869939632396,60,Car,15.793985937618793,26.727857957438772,333.16924073826004,Clear,Crossroad,0,0,1,0,Medium
Urban,Damaged,55.38332647570499,60,Bus,32.83083707506084,63.301326294088824,963.3620838204047,Storm,No,0,1,1,0,Medium
Urban,Dry,63.287254914959085,60,Car,38.41893664769014,33.31020695458179,773.2744496068142,Rainy,T-Junction,0,1,1,0,Medium
Urban,Wet,65.50653400182101,60,Bus,10.737607493764045,21.76988412231978,330.3741169580458,Foggy,T-Junction,0,1,0,0,High
Urban,Snow,52.11291919030565,60,Truck,24.05618250305753,95.54429079662638,111.1716834967818,Rainy,T-Junction,0,0,0,0,Medium
Highway,Dry,89.14844778839762,100,Bike,13.940053792281342,89.44434580258343,963.6042869057305,Storm,T-Junction,1,1,0,0,High
Rural,Damaged,90.96718293886411,80,Car,32.802822353142915,55.383900990472824,318.8324705901791,Foggy,T-Junction,1,1,1,0,High
Urban,Dry,41.22690863714334,60,Bike,35.93074749518911,57.85679253532457,968.5114936355745,Storm,No,1,0,0,0,Medium
Highway,Damaged,121.65646906109889,100,Bike,25.910631811847683,21.42895139826555,798.8298495853873,Foggy,T-Junction,1,0,1,1,High
Urban,Snow,44.53923745797715,60,Bus,13.755573766076512,74.84522297831771,436.00283595046807,Rainy,Crossroad,1,1,0,1,Medium
Rural,Wet,79.25350235526373,80,Truck,27.707918166568675,54.65973991773245,984.507893328875,Clear,No,0,1,0,1,Medium
Urban,Damaged,36.24145764771415,60,Truck,30.849456583796275,88.80979177513636,782.0524790044163,Rainy,Crossroad,1,0,1,0,Medium
Highway,Dry,111.40621984216446,100,Bus,14.274866287045397,59.911052276108485,621.9741769749379,Clear,T-Junction,1,0,1,1,Medium
Urban,Damaged,56.29233926219105,60,Car,10.996093263740997,26.28627977240166,402.9540434395801,Rainy,No,1,1,0,1,Medium
Urban,Wet,49.77023628003302,60,Truck,11.23550485837815,73.63083666835297,952.0344746117737,Foggy,T-Junction,0,0,0,1,Medium
Highway,Wet,127.17970186202308,100,Car,36.129073712382564,77.12695457059422,803.7108022390939,Foggy,Crossroad,1,0,0,0,High
Rural,Snow,85.36888593037654,80,Bus,34.51893309887481,56.18546276146401,647.1419182445597,Storm,T-Junction,0,1,1,1,High
Rural,Wet,75.5254475817283,80,Truck,28.472260658267285,46.321395025172976,475.4807667696984,Storm,Crossroad,0,1,0,0,High
Highway,Snow,132.45484748837106,100,Bus,10.625834178746143,72.2610415389864,338.99147910155784,Foggy,T-Junction,1,0,0,0,High
Urban,Snow,39.82971862134099,60,Bike,35.21357218830801,33.93546692626029,961.1727459721071,Clear,No,1,0,1,1,Medium
Highway,Damaged,94.44744054169915,100,Bus,39.62948691208173,23.2087353129986,868.3611811612241,Storm,T-Junction,1,0,1,1,High
Highway,Wet,119.75415344848844,100,Bus,29.650280164963256,99.37066530725379,291.01598332255855,Storm,T-Junction,0,1,0,0,High
Urban,Damaged,66.58954136522206,60,Car,13.947030553817793,77.26599717456708,909.9421954589845,Foggy,No,0,1,1,1,High
Urban,Wet,58.39011006605135,60,Bike,12.921801776606564,52.40166392642572,596.9892158334641,Clear,No,0,0,1,1,Medium
Rural,Wet,68.96072121199956,80,Car,39.082369670058625,40.6506746160902,660.1692978958793,Foggy,No,0,0,1,1,Medium
Highway,Snow,97.7437021830725,100,Bike,19.926680889675158,55.90220590651224,672.6964974447677,Foggy,Crossroad,0,0,0,1,High
Rural,Damaged,94.93322878043418,80,Car,15.02857648864953,22.933714154683436,739.0379949149841,Clear,T-Junction,0,1,0,0,High
Highway,Damaged,95.45037307096078,100,Bus,13.357588581931836,41.57996892135917,66.5159875284217,Storm,Crossroad,0,0,1,1,High
Highway,Dry,105.69589280410186,100,Bike,15.400313124181704,27.08444673785931,112.27586755277551,Foggy,T-Junction,0,1,1,1,High
Highway,Wet,101.01630359143243,100,Bus,17.626737396924796,61.73840373089705,349.2269532397062,Foggy,Crossroad,1,1,0,1,High
Urban,Dry,66.00171711972325,60,Bus,16.05560356368845,73.87459466599338,970.2129256461977,Storm,T-Junction,0,0,1,0,Medium
Urban,Dry,73.05101596033131,60,Bike,38.3384265842207,74.65984226317167,502.203016368343,Rainy,Crossroad,0,1,1,0,High
Highway,Damaged,107.43522831958907,100,Bike,30.685802530946834,74.12107086217972,223.51840087374,Storm,No,1,1,0,1,High
Highway,Dry,99.0379248011051,100,Truck,36.12260351011777,82.59083872466188,571.3460983768011,Rainy,T-Junction,0,0,1,1,Low
Highway,Wet,104.9314361545522,100,Truck,23.14517039235963,92.11005196707555,879.1122474509143,Storm,T-Junction,0,0,0,0,High
Highway,Damaged,80.82966124845436,100,Truck,30.864016200695865,51.08464810162766,454.2066863963054,Rainy,Crossroad,0,1,0,0,Medium
Urban,Wet,35.34388926617913,60,Bike,29.277279068415687,80.74754623382928,505.44085603943404,Foggy,T-Junction,0,1,1,1,High
Urban,Wet,42.64883662422077,60,Bus,21.964683426907015,66.41378953818659,538.2665212596097,Clear,No,0,0,1,0,Low
Urban,Wet,37.008062216064815,60,Truck,25.63702397456003,85.79147350536465,436.55347062265304,Storm,Crossroad,1,0,0,1,High
Rural,Dry,68.69053116699986,80,Bus,24.57615277558977,40.542125417640634,292.0241729423036,Foggy,Crossroad,0,0,0,1,Medium
Rural,Damaged,75.78987384699839,80,Bus,31.484520226695807,41.8099200586827,419.413610510098,Rainy,T-Junction,0,1,0,0,Medium
Rural,Damaged,71.28147240375752,80,Truck,33.80221774443512,34.81827572379277,918.5749642796635,Foggy,No,1,1,1,0,Medium
Urban,Dry,46.56735896782354,60,Bus,28.994541267820672,96.11226737653256,605.5957019448679,Storm,No,1,0,1,1,Medium
Highway,Wet,93.05576401861961,100,Car,37.17673314363281,81.59557602013432,561.07068735735,Foggy,T-Junction,0,0,1,1,Medium
Rural,Damaged,63.77870556881894,80,Bus,34.28589927305325,81.33249081603248,158.20692827738816,Foggy,T-Junction,0,1,0,0,High
Highway,Snow,97.22068511683437,100,Bus,10.709157581390091,71.35772003546128,611.023095727893,Rainy,No,1,0,1,0,Medium
Urban,Dry,58.05268950399861,60,Car,14.253231805813055,41.96322032001003,601.0764477267347,Clear,T-Junction,1,0,1,1,Low
Highway,Snow,104.54028023493979,100,Car,27.351607510192274,41.93285332478447,88.62517529909674,Clear,Crossroad,1,0,0,1,High
Rural,Dry,71.98777475467855,80,Bus,20.30681424327112,69.37246267165175,447.9858371158628,Clear,Crossroad,1,1,1,0,Low
Rural,Damaged,105.34455496542046,80,Car,16.924875674620363,56.54869159042949,198.4216141908771,Storm,T-Junction,1,0,1,1,High
Urban,Dry,73.05864323721363,60,Bike,23.956168368511545,24.811387408062817,566.6738477191307,Rainy,Crossroad,1,0,0,0,High
Rural,Snow,78.33160907976949,80,Car,32.68489986685738,47.80572193911857,668.2626072423459,Foggy,T-Junction,1,0,1,1,High
Highway,Snow,86.44138537802816,100,Bus,39.77450506475125,94.16007743394363,544.557558977754,Foggy,T-Junction,0,1,0,1,High
Urban,Wet,64.47078315160763,60,Truck,25.205152954614476,32.744321649518426,72.47794274835866,Storm,Crossroad,1,0,0,1,High
Highway,Wet,115.02891323432792,100,Car,38.10873469093188,64.3041792569901,312.4690675514433,Clear,T-Junction,1,1,0,1,High
Urban,Snow,63.769584612095706,60,Truck,35.54274873235288,36.680841148586865,931.2892624974771,Foggy,T-Junction,1,1,1,0,High
Rural,Wet,79.97674241246146,80,Bus,31.64266201986195,31.302243942040462,219.86266599321615,Rainy,T-Junction,1,0,0,0,Medium
Rural,Wet,80.42271736053692,80,Bike,29.22916232035996,85.79844509074887,141.19942601442995,Rainy,Crossroad,1,0,1,0,High
Urban,Dry,59.86321505033695,60,Truck,34.879972154238516,45.40251583013897,953.2695523252814,Storm,T-Junction,1,0,0,0,Medium
Urban,Damaged,58.37943450316124,60,Car,33.30170891415078,29.7628041699516,598.347843056157,Rainy,No,0,1,1,1,Medium
Highway,Damaged,98.96813730347682,100,Bike,10.530634288397717,68.2042531074292,371.1502369530842,Rainy,No,0,0,0,0,Medium
Urban,Wet,51.54526458860486,60,Car,13.641548182672867,44.262011805407646,110.03535290054022,Rainy,T-Junction,1,1,1,0,High
Rural,Damaged,73.83603265551224,80,Car,16.624078893569173,33.90020765298356,659.1664358360398,Clear,Crossroad,1,0,1,0,Medium
Highway,Damaged,105.70537795575875,100,Bike,24.449045396045868,34.15097161150835,393.2079727322745,Rainy,No,0,1,0,1,High
Urban,Snow,27.392681156479533,60,Car,17.79439626235103,80.8231858497708,145.73860867170907,Rainy,T-Junction,0,0,0,0,Medium
Highway,Wet,98.16479646038341,100,Truck,17.975534099629407,71.68720987700064,504.3404966288321,Clear,No,1,0,0,1,Medium
Urban,Damaged,53.472651032178725,60,Truck,24.280543881062997,50.07106281166155,400.53151578433494,Storm,T-Junction,1,1,0,1,High
Highway,Dry,106.97568191522772,100,Car,34.266503849089844,26.113348755044115,286.57403679536924,Storm,No,1,1,1,1,Medium
Highway,Damaged,102.49979242845271,100,Bike,21.590467295449464,56.00995459358077,234.6950474217105,Foggy,T-Junction,0,1,0,1,High
Highway,Snow,90.93491392655032,100,Car,11.140655447123647,79.69658059854709,662.445178861644,Storm,No,0,1,0,1,Medium
Highway,Dry,98.8627390627268,100,Bus,23.85840810012867,99.32707270962192,971.0424580939634,Clear,T-Junction,0,0,0,1,Low
Rural,Snow,97.78556231994496,80,Truck,17.95139284975012,21.675596882473023,91.34995080166307,Clear,No,1,0,0,1,High
Highway,Dry,110.784299659976,100,Truck,10.312830981922092,40.43307877481756,268.1061669207174,Foggy,T-Junction,0,0,0,1,Medium
Rural,Wet,70.34722654429785,80,Bike,39.39910988076552,68.15052717090578,586.598431625174,Rainy,T-Junction,0,1,1,1,High
Urban,Snow,73.91760192121856,60,Truck,37.8425092097815,37.969248947508156,378.4453535991382,Foggy,No,0,1,1,1,High
Highway,Wet,103.15855050937697,100,Truck,24.8814351603966,21.01719119895148,992.4912464845755,Storm,T-Junction,1,1,1,0,High
Rural,Dry,87.68749328332275,80,Bus,17.567230605200848,80.40335429970227,465.9341023013986,Clear,Crossroad,1,1,1,1,Medium
Rural,Snow,96.87197966889788,80,Bus,18.079938949060754,63.16449763964041,730.6677049634358,Storm,Crossroad,1,0,0,0,High
Rural,Wet,68.00908885757846,80,Bike,14.520283231296322,47.39069088268372,419.2822848023088,Foggy,Crossroad,0,0,0,1,High
Rural,Snow,91.30012431656799,80,Truck,29.088740619377443,80.88972296345264,168.47091860502726,Foggy,Crossroad,1,1,1,1,High
